Time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46
CPU 0,s0,s0,s0,s0,s1,s1,s1,s1,s3,s3,s1,s1,s2,s2,s3,s3,s1,s1,s2,s2,s3,s3,s1,s1,s2,s2,s3,s3,s1,s1,s3,s3,s1,s1,s3,s3,s0,s0,s0,s0,s0,s0,s0,s0,s0,s0,
Process Status,s0 loading,s0 loading,s0 loading,s0 loading,s1 arrives,s1 arrives,s2 arrives,s3 arrives,Round-robin,Round-robin,Round-robin,Round-robin,Round-robin,Round-robin,Round-robin,Round-robin,Round-robin,Round-robin,Round-robin,Round-robin,Round-robin,Round-robin,Round-robin,Round-robin,s2 finishes,s2 finishes,s2 finishes,s2 finishes,s1 finishes,s1 finishes,s3 finishes,s3 finishes,s3 finishes,s3 finishes,s3 finishes,s3 finishes,s0 completes,s0 completes,s0 completes,s0 completes,s0 completes,s0 completes,s0 completes,s0 completes,s0 completes,s0 completes,
