Time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
CPU 0,s0,s0,s0,s0,s1,s1,s1,s1,s1,s1,s1,s1,s1,s1,s0,s0,,,,,
Process Status,s0 loading,s0 loading,s0 loading,s0 loading,s1 arrives,s1 arrives,Process execution,Process execution,Process execution,Process execution,Process execution,Process execution,Process execution,Process execution,Process completion,Process completion,,,,,
